Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp        0      0 localhost:8086          localhost:37094         ESTABLISHED
tcp        0      0 localhost:8086          localhost:50222         ESTABLISHED
tcp        0      0 macbook-pro:47250       a88-221-132-80.dep:http TIME_WAIT  
tcp        0      0 macbook-pro:50396       45.55.41.223:http       CLOSE_WAIT 
tcp        0      0 localhost:37094         localhost:8086          ESTABLISHED
tcp        0      0 macbook-pro:46402       93.184.220.29:http      TIME_WAIT  
tcp        0    859 localhost:5555          localhost:58969         ESTABLISHED
tcp        0      0 localhost:5555          localhost:58967         ESTABLISHED
tcp        0    859 localhost:5555          localhost:58971         ESTABLISHED
tcp        0      0 localhost:5555          localhost:51120         ESTABLISHED
tcp        0      0 macbook-pro:45110       ec2-52-24-164-106:https ESTABLISHED
tcp        0      0 localhost:51120         localhost:5555          ESTABLISHED
tcp6       0      0 localhost:36111         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58843         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41873         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55325         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33805         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57412         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53614         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59185         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60233         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33514         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49512         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51398         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39177         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33440         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37470         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43522         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57214         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54949         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41950         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48381         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40876         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39750         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60193         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55450         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52980         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48251         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50953         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36524         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40304         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35227         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40745         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56282         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55632         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35921         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40630         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:32904         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55049         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52645         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46779         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44519         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56904         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37269         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40521         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45138         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56916         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46356         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60289         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40031         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39886         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37626         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53767         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44696         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40308         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34721         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:38395         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47164         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56743         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41498         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41024         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39320         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58111         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58113         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41691         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53164         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58855         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39647         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42926         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43768         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52967         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45863         localhost:5555          TIME_WAIT  
